,id,review,opinion,label,predict
0,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,lousy,negative,negative
1,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",consistently,positive,positive
2,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,amazing,positive,negative
3,1014458:3,the wine list is interesting and has many good values.,interesting,positive,positive
4,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,greasy,negative,negative
5,1032695:2,i had the duck breast special on my last visit and it was incredible.,incredible,positive,negative
6,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",sweet,negative,negative
7,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,enjoyed,positive,positive
8,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,innovative,positive,positive
9,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!",haze,positive,negative
10,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",awesome,positive,positive
11,1055910:2,food-awesome.,,positive,negative
12,1062641:2,food is great.,great,positive,positive
13,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,pretty,positive,negative
14,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,goodthey,positive,negative
15,1074868:4,the food was well prepared and the service impecable.,well,positive,positive
16,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,worth,positive,positive
17,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",fresh,positive,negative
18,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",great,positive,positive
19,1086478:0,"the food here is rather good, but only if you like to wait for it.",good,positive,positive
20,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",like,positive,negative
21,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",like,negative,negative
22,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,reasonable,positive,negative
23,1090587:3,the lava cake dessert was incredible and i recommend it.,incredible,positive,negative
24,1102681:2,"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",impressive,positive,positive
25,1118167:2,the pizza was delivered cold and the cheese wasn't even fully melted!,cold,negative,negative
26,1119578:1,the pizza is overpriced and soggy.,overpriced,negative,positive
27,1119578:2,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",good,positive,positive
28,1123262:0,i think i've had some the best meals of my life at minnow.,best,positive,positive
29,1123262:1,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",good,positive,positive
30,1123262:2,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,unusual,positive,positive
31,1125006:1,best pastrami i ever had and great portion without being ridiculous.,great,positive,positive
32,1125006:3,my wife had the fried shrimp which are huge and loved it.,fried,positive,negative
33,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",japanese,positive,negative
34,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",good,positive,positive
35,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",great,positive,negative
36,1131595:3,the food was bland oily.,bland,negative,negative
37,1138996:1,"we have been to this place many times, and always have great food, wine, and service.",great,positive,negative
38,1138996:3,as always we had a great glass of wine while we waited.,great,positive,positive
39,1145510:1,the pizza is yummy and i like the atmoshpere.,like,positive,negative
40,1147082:0,i went there for lunch and it was not as good as i expected from the reviews i read.,good,negative,negative
41,1147082:1,sauce was watery and the food didn't have much flavor.,watery,negative,negative
42,1147211:2,the waitress was very patient with us and the food is phenomenal!,phenomenal,positive,positive
43,1153034:0,great pizza and fantastic service.,great,positive,positive
44,1154550:0,this is the best sushi in new york city - hands down.,best,positive,positive
45,1154550:1,the place is small and cramped but the food is fantastic.,fantastic,positive,negative
46,1154550:2,get the tuna of gari.,get,positive,negative
47,1162037:0,"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",great,positive,positive
48,1162037:1,"with the great variety on the menu , i eat here often and never get bored .",great,positive,positive
49,1162037:3,it's all about the food !!,its,positive,negative
50,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",most,negative,negative
51,1175958:1,"try the crunchy tuna, it is to die for.",die,positive,negative
52,1189674:1,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",amazing,positive,negative
53,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",worth,positive,positive
54,1199292:0,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",like,positive,negative
55,1199480:0,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",great,positive,positive
56,1205520:2,make sure you have the spicy scallop roll.. .,spicy,positive,negative
57,1212346:0,"moules were excellent, lobster ravioli was very salty!",excellent,positive,positive
